Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
31;1;Tartu Welco;27;17;4;6;76;39;37;55;2.037
31;2;Flora U21;27;13;5;9;64;48;16;44;1.63
31;3;Viimsi JK;24;13;4;7;49;26;23;43;1.792
31;4;Elva;26;12;5;9;43;37;6;41;1.577
31;5;Maardu;27;12;5;10;45;55;-10;41;1.519
31;6;Levadia U21;25;12;1;12;54;51;3;37;1.48
31;7;Tallinna Kalev;27;10;6;11;49;51;-2;36;1.333
31;8;FC Tallinn;27;7;7;13;33;57;-24;28;1.037
31;9;Nomme Utd U21;26;6;6;14;43;59;-16;24;0.923
31;10;Nomme Kalju U21;26;6;3;17;35;68;-33;21;0.808
31;11;Flora Tallinn U21;1;0;1;0;3;3;0;1;1.0
31;12;Nomme United U21;1;0;1;0;3;3;0;1;1.0
