Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
9;1;FC Copenhagen;8;7;0;1;22;8;14;21;2.625
9;2;Midtjylland;8;5;3;0;16;8;8;18;2.25
9;3;Nordsjaelland;8;5;2;1;13;6;7;17;2.125
9;4;Viborg;8;4;2;2;11;7;4;14;1.75
9;5;Brondby;8;4;1;3;12;14;-2;13;1.625
9;6;Horsens;8;3;1;4;13;14;-1;10;1.25
9;7;Randers;8;3;1;4;9;10;-1;10;1.25
9;8;Odense;8;2;2;4;7;13;-6;8;1.0
9;9;Lyngby;8;1;4;3;10;12;-2;7;0.875
9;10;Silkeborg;8;1;4;3;8;12;-4;7;0.875
9;11;Aarhus;8;0;4;4;9;15;-6;4;0.5
9;12;Sonderjyske;8;0;2;6;8;19;-11;2;0.25
