Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Trelleborg;17;10;7;0;37;15;22;37;2.176
19;2;Hassleholms IF;19;11;3;5;42;26;16;36;1.895
19;3;AFC Malmo;17;8;5;4;33;22;11;29;1.706
19;4;Atvidaberg;16;8;5;3;32;21;11;29;1.812
19;5;Lunds;17;7;7;3;29;22;7;28;1.647
19;6;Rosengard;16;7;5;4;27;21;6;26;1.625
19;7;Tvaaker;18;7;4;7;24;28;-4;25;1.389
19;8;Olympic;17;7;2;8;27;29;-2;23;1.353
19;9;Jonkoping;17;6;4;7;24;19;5;22;1.294
19;10;Eskilsminne;16;6;3;7;25;28;-3;21;1.312
19;11;Trollhättan;17;4;7;6;20;27;-7;19;1.118
19;12;Kristianstad;18;4;6;8;18;26;-8;18;1.0
19;13;Angelholm;17;3;8;6;24;26;-2;17;1.0
19;14;Laholms;17;5;2;10;22;30;-8;17;1.0
19;15;Skövde;16;3;8;5;13;24;-11;17;1.062
19;16;Utsikten;16;1;2;13;12;43;-31;5;0.312
19;17;Haessleholms IF;1;1;0;0;4;2;2;3;3.0
19;18;Kristianstad FC;1;0;1;0;0;0;0;1;1.0
19;19;Trelleborgs FF;1;0;1;0;0;0;0;1;1.0
19;20;Tvaakers IF;2;0;0;2;4;8;-4;0;0.0
