Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Nitra;7;6;1;0;22;5;17;19;2.714
8;2;Belusa;7;4;2;1;17;9;8;14;2.0
8;3;Puchov;7;3;3;1;11;4;7;12;1.714
8;4;Banik Prievidza;8;4;0;4;14;13;1;12;1.5
8;5;Myjava;8;3;3;2;12;11;1;12;1.5
8;6;Gabcikovo;8;3;2;3;10;11;-1;11;1.375
8;7;FKM Nove Zamky;7;3;2;2;9;11;-2;11;1.571
8;8;Trencin B;7;3;1;3;13;12;1;10;1.429
8;9;D. Luzna;7;2;3;2;8;8;0;9;1.286
8;10;MSK Senec;7;3;0;4;8;11;-3;9;1.286
8;11;Castkovce;7;2;2;3;16;17;-1;8;1.143
8;12;Raca;7;2;2;3;11;13;-2;8;1.143
8;13;Komarno B;8;2;2;4;10;19;-9;8;1.0
8;14;Dun. Streda B;7;2;1;4;13;13;0;7;1.0
8;15;Sala;7;1;2;4;8;13;-5;5;0.714
8;16;Velke Ludince;7;1;2;4;8;20;-12;5;0.714
