Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Lionsbridge;12;10;1;1;42;10;32;31;2.583
25;2;Virginia Beach;12;7;2;3;27;16;11;23;1.917
25;3;Charlottesville Blues;13;7;2;4;23;13;10;23;1.769
25;4;Bethesda SC;12;6;2;4;27;25;2;20;1.667
25;5;Christos;12;6;2;4;23;31;-8;20;1.667
25;6;Annapolis Blues;12;6;1;5;31;18;13;19;1.583
25;7;Loudoun 2;12;6;1;5;30;27;3;19;1.583
25;8;Hill City;13;6;0;7;30;27;3;18;1.385
25;9;Northern Virginia;11;4;3;4;29;21;8;15;1.364
25;10;Virginia Marauders;12;1;0;11;5;39;-34;3;0.25
25;11;Patuxent;11;0;0;11;3;43;-40;0;0.0
