Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;KTP;17;11;3;3;30;19;11;36;2.118
20;2;Haka;16;9;4;3;33;17;16;31;1.938
20;3;Jippo;18;8;7;3;24;15;9;31;1.722
20;4;PK-35;15;8;4;3;20;12;8;28;1.867
20;5;JaPS;16;8;1;7;15;18;-3;25;1.562
20;6;Mikkeli;17;6;3;8;18;22;-4;21;1.235
20;7;Ekenas;17;6;2;9;23;30;-7;20;1.176
20;8;KaPa;17;4;4;9;19;29;-10;16;0.941
20;9;Klubi 04;17;2;6;9;14;22;-8;12;0.706
20;10;SJK Akatemia;16;1;6;9;8;20;-12;9;0.562
20;11;PK-35 Helsinki;1;1;0;0;2;1;1;3;3.0
20;12;Mikkelin Palloilijat;1;0;0;1;1;2;-1;0;0.0
