Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
9;1;Artis Brno B;8;7;1;0;17;1;16;22;2.75
9;2;Brno B;8;6;1;1;22;14;8;19;2.375
9;3;FK Frydek-Mistek;8;5;2;1;15;7;8;17;2.125
9;4;Slovacko B;9;4;3;2;16;10;6;15;1.667
9;5;Hlubina;8;4;2;2;22;14;8;14;1.75
9;6;Unicov;8;4;2;2;13;10;3;14;1.75
9;7;Sigma Olomouc B;8;4;1;3;14;9;5;13;1.625
9;8;SK Hranice;9;4;1;4;11;8;3;13;1.444
9;9;Zlin B;8;3;3;2;11;10;1;12;1.5
9;10;Vitkovice;8;3;3;2;8;7;1;12;1.5
9;11;Uhersky Brod;8;3;2;3;11;11;0;11;1.375
9;12;Karvina B;8;3;1;4;10;13;-3;10;1.25
9;13;Nove Mesto na Morave;8;3;1;4;6;12;-6;10;1.25
9;14;Vsetin;8;2;0;6;8;20;-12;6;0.75
9;15;Hodonin;8;1;2;5;7;12;-5;5;0.625
9;16;Blansko;8;0;4;4;9;21;-12;4;0.5
9;17;Havirov;8;0;3;5;4;16;-12;3;0.375
9;18;Polanka nad Odrou;8;0;2;6;4;13;-9;2;0.25
