Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;1;Heegan;17;11;4;2;43;15;28;37;2.176
18;2;Gaadiidka;16;10;5;1;44;14;30;35;2.188
18;3;Mogadishu City;17;10;5;2;33;10;23;35;2.059
18;4;Horseed;17;9;6;2;34;14;20;33;1.941
18;5;Elman;17;10;3;4;30;11;19;33;1.941
18;6;Dekedaha;17;8;7;2;34;18;16;31;1.824
18;7;Jeenyo;17;4;6;7;30;28;2;18;1.059
18;8;Badbaado;16;5;2;9;28;26;2;17;1.062
18;9;Jazeera;16;4;4;8;26;32;-6;16;1.0
18;10;Raadsan;16;3;1;12;22;44;-22;10;0.625
18;11;Jubba;17;2;0;15;10;66;-56;6;0.353
18;12;Gantaalaha Afgooye;15;1;1;13;15;71;-56;4;0.267
