Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
24;1;Rochedale U23;22;16;2;4;61;27;34;50;2.273
24;2;Moreton City Excelsior U23;22;14;2;6;60;31;29;44;2.0
24;3;Queensland Lions U23;22;13;5;4;52;24;28;44;2.0
24;4;Gold Coast Knights U23;22;14;1;7;58;39;19;43;1.955
24;5;Gold Coast Blaze U23;22;13;2;7;52;45;7;41;1.864
24;6;Eastern Suburbs U23;22;9;4;9;43;32;11;31;1.409
24;7;QLD State Team U17;22;8;1;13;46;57;-11;25;1.136
24;8;Brisbane City U23;22;7;3;12;42;54;-12;24;1.091
24;9;Olympic FC U23;22;7;2;13;35;55;-20;23;1.045
24;10;Wynnum Wolves U23;22;6;3;13;29;52;-23;21;0.955
24;11;Peninsula U23;22;6;2;14;36;57;-21;20;0.909
24;12;Magic United U23;22;5;1;16;27;68;-41;16;0.727
