Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
31;1;RFS;26;20;4;2;66;20;46;64;2.462
31;2;Riga FC;26;19;5;2;80;26;54;62;2.385
31;3;Auda;26;15;5;6;41;26;15;50;1.923
31;4;FK Liepaja;27;12;5;10;39;39;0;41;1.519
31;5;BFC Daugavpils;24;9;7;8;30;26;4;34;1.417
31;6;Super Nova;24;8;4;12;25;35;-10;28;1.167
31;7;Jelgava;27;7;5;15;28;48;-20;26;0.963
31;8;Tukums 2000;27;5;6;16;40;56;-16;21;0.778
31;9;Grobina;24;4;8;12;18;46;-28;20;0.833
31;10;Ogre United;25;4;3;18;27;69;-42;15;0.6
31;11;SK Super Nova;1;1;0;0;2;1;1;3;3.0
31;12;FK Tukums 2000;2;0;0;2;3;5;-2;0;0.0
31;13;Liepaja;1;0;0;1;0;2;-2;0;0.0
