Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
23;1;Bodo/Glimt;16;12;2;2;41;11;30;38;2.375
23;2;Viking;15;12;1;2;37;14;23;37;2.467
23;3;Tromsø;16;10;4;2;32;17;15;34;2.125
23;4;Lilleström;15;8;1;6;22;18;4;25;1.667
23;5;Molde;15;7;3;5;28;22;6;24;1.6
23;6;Brann;16;7;1;8;33;27;6;22;1.375
23;7;Sarpsborg 08;15;6;4;5;18;19;-1;22;1.467
23;8;HamKam;15;6;3;6;23;26;-3;21;1.4
23;9;Vålerenga;15;6;2;7;22;27;-5;20;1.333
23;10;Rosenborg;15;5;3;7;21;21;0;18;1.2
23;11;Fredrikstad;15;5;2;8;16;27;-11;17;1.133
23;12;Sandefjord;15;4;3;8;13;21;-8;15;1.0
23;13;KFUM Oslo;15;4;3;8;17;26;-9;15;1.0
23;14;Aalesund;15;2;7;6;21;35;-14;13;0.867
23;15;Kristiansund;15;3;3;9;13;25;-12;12;0.8
23;16;Start;16;2;4;10;16;37;-21;10;0.625
