Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
9;1;Gornik Zabrze;7;6;0;1;14;8;6;18;2.571
9;2;Lech;7;5;1;1;12;6;6;16;2.286
9;3;Legia;7;4;3;0;15;6;9;15;2.143
9;4;Wisla;8;4;2;2;15;11;4;14;1.75
9;5;Korona;7;3;3;1;9;6;3;12;1.714
9;6;Zaglebie;7;3;3;1;8;6;2;12;1.714
9;7;Jagiellonia;7;4;0;3;11;10;1;12;1.714
9;8;Piast;7;3;1;3;13;13;0;10;1.429
9;9;Pogon Szczecin;6;2;3;1;8;5;3;9;1.5
9;10;Katowice;7;3;0;4;13;11;2;9;1.286
9;11;Cracovia;7;2;2;3;6;8;-2;8;1.143
9;12;Radomiak Radom;7;2;2;3;6;13;-7;8;1.143
9;13;Widzew Lodz;7;1;4;2;10;10;0;7;1.0
9;14;Slask;8;1;3;4;10;13;-3;6;0.75
9;15;Motor Lublin;8;1;2;5;9;15;-6;5;0.625
9;16;Plock;6;1;2;3;4;11;-7;5;0.833
9;17;Wieczysta Krakow;6;1;1;4;9;13;-4;4;0.667
9;18;Rakow;7;1;0;6;8;15;-7;3;0.429
