Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;1;Skara;17;12;4;1;36;18;18;40;2.353
18;2;Husqvarna;16;12;3;1;36;12;24;39;2.438
18;3;IFK Skovde;17;9;3;5;32;22;10;30;1.765
18;4;Grebbestad;16;9;2;5;30;22;8;29;1.812
18;5;Ahlafors IF;16;7;6;3;33;19;14;27;1.688
18;6;Stenungsunds;17;7;4;6;29;24;5;25;1.471
18;7;Herrestads AIF;18;6;5;7;30;34;-4;23;1.278
18;8;Kumla;16;5;5;6;17;19;-2;20;1.25
18;9;Motala;16;5;4;7;21;21;0;19;1.188
18;10;Vanersborgs FK;16;4;4;8;21;32;-11;16;1.0
18;11;Lidkoping;17;4;3;10;19;36;-17;15;0.882
18;12;Vanersborgs IF;18;4;3;11;22;45;-23;15;0.833
18;13;Tord;16;1;8;7;19;29;-10;11;0.688
18;14;Karlstad II;16;2;4;10;17;30;-13;10;0.625
18;15;Skara FC;1;1;0;0;2;0;2;3;3.0
18;16;Lidkoepings FK;1;1;0;0;2;1;1;3;3.0
18;17;Vaenersborgs IF;1;1;0;0;1;0;1;3;3.0
18;18;IFK Skoevde FK;1;0;0;1;1;2;-1;0;0.0
18;19;Stenungsunds IF;2;0;0;2;0;2;-2;0;0.0
