Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Sheffield Wed;5;4;0;1;13;6;7;12;2.4
5;2;Huddersfield;4;3;1;0;9;3;6;10;2.5
5;3;Stockport;4;3;0;1;12;4;8;9;2.25
5;4;Bradford City;5;3;0;2;5;4;1;9;1.8
5;5;Cambridge Utd;4;2;1;1;8;7;1;7;1.75
5;6;Luton;4;2;1;1;9;9;0;7;1.75
5;7;Reading;3;2;0;1;11;5;6;6;2.0
5;8;Stevenage;4;1;3;0;8;4;4;6;1.5
5;9;Notts County;4;1;3;0;5;4;1;6;1.5
5;10;Plymouth;4;2;0;2;6;7;-1;6;1.5
5;11;Mansfield;4;2;0;2;7;9;-2;6;1.5
5;12;Barnsley;4;2;0;2;6;8;-2;6;1.5
5;13;Wimbledon;4;2;0;2;4;7;-3;6;1.5
5;14;Burton;4;1;2;1;8;6;2;5;1.25
5;15;Leicester;4;1;2;1;3;5;-2;5;1.25
5;16;Leyton Orient;4;1;1;2;8;6;2;4;1.0
5;17;Oxford Utd;3;1;1;1;7;5;2;4;1.333
5;18;Blackpool;4;1;1;2;7;6;1;4;1.0
5;19;Milton Keynes;4;0;3;1;6;8;-2;3;0.75
5;20;Wigan;4;1;0;3;5;9;-4;3;0.75
5;21;Bromley;4;1;0;3;3;14;-11;3;0.75
5;22;Doncaster;4;0;2;2;6;8;-2;2;0.5
5;23;Wycombe;4;0;2;2;6;11;-5;2;0.5
5;24;Peterborough;4;0;1;3;1;8;-7;1;0.25
