Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
14;1;Alga;14;10;4;0;30;12;18;34;2.429
14;2;Muras United;13;9;3;1;27;11;16;30;2.308
14;3;Asia Talas;14;9;2;3;33;26;7;29;2.071
14;4;Bars;12;8;2;2;30;15;15;26;2.167
14;5;Ozgon;13;8;2;3;25;14;11;26;2.0
14;6;Alay Osh;13;6;4;3;16;14;2;22;1.692
14;7;Aldier;14;5;5;4;21;21;0;20;1.429
14;8;Dordoi Bishkek;14;5;2;7;18;20;-2;17;1.214
14;9;Talant;14;3;6;5;15;16;-1;15;1.071
14;10;Bishkek City;13;4;3;6;13;16;-3;15;1.154
14;11;Asiagoal Bishkek;14;3;5;6;14;19;-5;14;1.0
14;12;Neftchi Kochkor-Ata;14;4;2;8;15;23;-8;14;1.0
14;13;Ilbirs;13;2;7;4;14;21;-7;13;1.0
14;14;Toktogul;13;4;0;9;12;22;-10;12;0.923
14;15;Abdysh-Ata;14;2;2;10;12;23;-11;8;0.571
14;16;Kyrgyzaltyn;14;0;3;11;12;34;-22;3;0.214
