Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Lusitania FC;6;5;1;0;11;4;7;16;2.667
6;2;Penafiel;6;4;1;1;13;5;8;13;2.167
6;3;Sporting B;6;4;0;2;8;6;2;12;2.0
6;4;Vizela;6;3;2;1;7;4;3;11;1.833
6;5;Leiria;6;3;1;2;10;7;3;10;1.667
6;6;Leixoes;6;3;1;2;8;6;2;10;1.667
6;7;Benfica B;6;3;1;2;7;5;2;10;1.667
6;8;Tondela;6;3;0;3;7;6;1;9;1.5
6;9;Academica;6;3;0;3;8;10;-2;9;1.5
6;10;Farense;5;2;2;1;7;5;2;8;1.6
6;11;Portimonense;6;2;1;3;4;6;-2;7;1.167
6;12;AFS;6;1;3;2;6;6;0;6;1.0
6;13;Felgueiras;6;1;3;2;5;6;-1;6;1.0
6;14;Torreense;6;1;3;2;7;9;-2;6;1.0
6;15;Amarante;6;1;2;3;5;8;-3;5;0.833
6;16;Chaves;5;1;1;3;5;9;-4;4;0.8
6;17;FC Porto B;6;1;1;4;4;13;-9;4;0.667
6;18;Feirense;6;0;1;5;1;8;-7;1;0.167
