Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Trnava;4;3;1;0;8;2;6;10;2.5
4;2;Slovan Bratislava;3;3;0;0;12;0;12;9;3.0
4;3;Podbrezova;4;3;0;1;8;5;3;9;2.25
4;4;Dun. Streda;3;2;1;0;6;1;5;7;2.333
4;5;Skalica;4;2;1;1;8;7;1;7;1.75
4;6;Zilina;4;2;1;1;10;10;0;7;1.75
4;7;Kosice;3;1;2;0;11;9;2;5;1.667
4;8;Trencin;3;0;2;1;5;6;-1;2;0.667
4;9;Komarno;4;0;2;2;3;7;-4;2;0.5
4;10;Michalovce;4;0;1;3;1;6;-5;1;0.25
4;11;Ruzomberok;4;0;1;3;3;12;-9;1;0.25
4;12;Banska Bystrica;4;0;0;4;3;13;-10;0;0.0
