Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20260629;1;Ironbound SC;9;7;2;0;21;11;10;23;2.556
20260629;2;Motown 2;9;7;1;1;27;7;20;22;2.444
20260629;3;Long Island;9;6;2;1;24;6;18;20;2.222
20260629;4;Hudson Valley;9;5;1;3;24;19;5;16;1.778
20260629;5;Cedar;8;5;1;2;13;9;4;16;2.0
20260629;6;Manhattan;9;3;2;4;22;22;0;11;1.222
20260629;7;New Jersey Copa;10;2;1;7;14;25;-11;7;0.7
20260629;8;Staten Island ASC;10;2;1;7;14;26;-12;7;0.7
20260629;9;Morris Elite;9;2;0;7;9;24;-15;6;0.667
20260629;10;Westchester Flames;10;1;1;8;13;32;-19;4;0.4
20260629;11;Long Island Rough Riders;1;1;0;0;4;1;3;3;3.0
20260629;12;Cedar Stars;1;0;0;1;1;4;-3;0;0.0
