Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
14;1;Kongsvinger;14;9;3;2;36;21;15;30;2.143
14;2;Strömsgodset;13;8;4;1;38;18;20;28;2.154
14;3;Haugesund;13;9;1;3;40;25;15;28;2.154
14;4;Stabaek;14;8;3;3;32;16;16;27;1.929
14;5;Odd;13;7;3;3;26;16;10;24;1.846
14;6;Ranheim;14;6;2;6;34;34;0;20;1.429
14;7;Sandnes;13;6;1;6;21;19;2;19;1.462
14;8;Hodd;13;5;3;5;18;16;2;18;1.385
14;9;Moss;13;5;2;6;23;29;-6;17;1.308
14;10;Egersund;13;5;1;7;21;25;-4;16;1.231
14;11;Bryne;13;5;1;7;18;22;-4;16;1.231
14;12;Sogndal;14;4;3;7;25;36;-11;15;1.071
14;13;Åsane;14;4;1;9;20;30;-10;13;0.929
14;14;Lyn;14;4;1;9;17;30;-13;13;0.929
14;15;Raufoss;14;4;1;9;17;31;-14;13;0.929
14;16;Strømmen;14;3;2;9;18;36;-18;11;0.786
