Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Kjelsaas;19;14;1;4;41;26;15;43;2.263
22;2;Eidsvold;18;13;3;2;44;15;29;42;2.333
22;3;Levanger;18;13;0;5;45;19;26;39;2.167
22;4;Honefoss;18;12;2;4;49;27;22;38;2.111
22;5;Grorud;18;9;4;5;28;17;11;31;1.722
22;6;Lørenskog;18;8;3;7;28;30;-2;27;1.5
22;7;Stjordals Blink;18;7;3;8;32;33;-1;24;1.333
22;8;Rana FK;18;7;3;8;34;36;-2;24;1.333
22;9;Tromsdalen;19;7;2;10;26;34;-8;23;1.211
22;10;Junkeren;18;6;4;8;25;31;-6;22;1.222
22;11;Skeid;19;6;2;11;29;37;-8;20;1.053
22;12;Follo;18;3;4;11;21;37;-16;13;0.722
22;13;Ull/Kisa;18;3;1;14;22;61;-39;10;0.556
22;14;Trygg/Lade;19;2;3;14;23;45;-22;9;0.474
22;15;Eidsvold TF;2;1;1;0;2;1;1;4;2.0
