Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Sokolov;1;1;0;0;6;0;6;3;3.0
1;2;Hvezda Cheb;1;1;0;0;4;3;1;3;3.0
1;3;Karlovy Vary;1;1;0;0;3;2;1;3;3.0
1;4;Tempo Prague;1;1;0;0;3;2;1;3;3.0
1;5;Chomutov;1;1;0;0;2;1;1;3;3.0
1;6;Velvary;1;1;0;0;2;1;1;3;3.0
1;7;Slany;1;0;1;0;2;2;0;1;1.0
1;8;Ujezd Prague;1;0;1;0;2;2;0;1;1.0
1;9;Brandys n. Labem;1;0;0;1;3;4;-1;0;0.0
1;10;Hostoun;1;0;0;1;2;3;-1;0;0.0
1;11;Ostrov;1;0;0;1;2;3;-1;0;0.0
1;12;Psary;1;0;0;1;1;2;-1;0;0.0
1;13;Steti;1;0;0;1;1;2;-1;0;0.0
1;14;Usti n. L. B;1;0;0;1;0;6;-6;0;0.0
