Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Beerschot VA;4;4;0;0;12;3;9;12;3.0
5;2;Eupen;3;3;0;0;7;2;5;9;3.0
5;3;Francs Borains;4;3;0;1;6;2;4;9;2.25
5;4;Dender;4;3;0;1;5;2;3;9;2.25
5;5;Hasselt;4;3;0;1;4;4;0;9;2.25
5;6;Virton;3;2;0;1;6;1;5;6;2.0
5;7;Sporting Lokeren;3;2;0;1;8;5;3;6;2.0
5;8;RFC Liege;5;1;2;2;9;10;-1;5;1.0
5;9;Club Brugge U23;3;1;1;1;6;6;0;4;1.333
5;10;Patro Eisden;4;1;0;3;6;9;-3;3;0.75
5;11;Genk U23;4;1;0;3;6;10;-4;3;0.75
5;12;K. Lierse S.K.;4;0;2;2;2;7;-5;2;0.5
5;13;Gent U23;3;0;1;2;2;7;-5;1;0.333
5;14;Seraing;4;0;1;3;2;7;-5;1;0.25
5;15;Anderlecht U23;4;0;1;3;5;11;-6;1;0.25
