Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Kairat Almaty;18;11;6;1;34;12;22;39;2.167
25;2;Ordabasy;15;11;4;0;27;9;18;37;2.467
25;3;Okzhetpes;16;7;6;3;21;21;0;27;1.688
25;4;Yelimay Semey;16;7;5;4;24;19;5;26;1.625
25;5;FC Astana;16;7;5;4;22;17;5;26;1.625
25;6;Ulytau;15;6;5;4;13;14;-1;23;1.533
25;7;Aktobe;15;6;4;5;18;14;4;22;1.467
25;8;Atyrau;15;3;9;3;11;11;0;18;1.2
25;9;Zhetysu;15;4;6;5;20;22;-2;18;1.2
25;10;Zhenis;16;4;6;6;13;19;-6;18;1.125
25;11;Kaisar;16;3;8;5;13;19;-6;17;1.062
25;12;Kyzylzhar;17;4;3;10;17;25;-8;15;0.882
25;13;Tobol;16;4;3;9;16;24;-8;15;0.938
25;14;Altai;16;2;7;7;11;18;-7;13;0.812
25;15;Kaspij Aktau;15;3;2;10;10;19;-9;11;0.733
25;16;Ertis Pavlodar;15;1;7;7;14;21;-7;10;0.667
