Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Tacna Heroica;5;2;2;1;8;6;2;8;1.6
5;2;Cesar Vallejo;5;2;2;1;5;4;1;8;1.6
5;3;Minas;3;2;1;0;7;4;3;7;2.333
5;4;Carlos Mannucci;4;2;1;1;4;1;3;7;1.75
5;5;U. San Martin;3;2;0;1;5;4;1;6;2.0
5;6;Sport Huancayo 2;4;2;0;2;4;3;1;6;1.5
5;7;Llacuabamba;4;1;2;1;4;3;1;5;1.25
5;8;Union Comercio;3;1;2;0;3;2;1;5;1.667
5;9;Estudiantil CNI;4;1;1;2;5;4;1;4;1.0
5;10;Ayacucho;3;1;1;1;4;5;-1;4;1.333
5;11;Alianza Huanuco;3;1;1;1;4;6;-2;4;1.333
5;12;Santos;4;1;1;2;5;8;-3;4;1.0
5;13;Binacional;1;1;0;0;1;0;1;3;3.0
5;14;Comerciantes;5;0;3;2;6;8;-2;3;0.6
5;15;Pirata;3;0;2;1;3;4;-1;2;0.667
5;16;AD Cantolao;3;0;2;1;2;4;-2;2;0.667
5;17;ADA Jaen;3;0;1;2;1;5;-4;1;0.333
