Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
21;1;Tampa Bay;15;9;4;2;24;12;12;31;2.067
21;2;Orange County SC;15;7;6;2;23;16;7;27;1.8
21;3;Charleston;15;8;2;5;30;21;9;26;1.733
21;4;San Antonio;15;6;7;2;20;17;3;25;1.667
21;5;Detroit;14;7;3;4;21;14;7;24;1.714
21;6;Louisville City;15;7;3;5;25;22;3;24;1.6
21;7;Indy Eleven;12;6;3;3;18;12;6;21;1.75
21;8;Oakland Roots;15;5;6;4;24;22;2;21;1.4
21;9;New Mexico;13;6;3;4;15;14;1;21;1.615
21;10;Pittsburgh;13;6;2;5;15;15;0;20;1.538
21;11;Colorado Springs;14;5;4;5;24;22;2;19;1.357
21;12;El Paso;14;5;4;5;25;24;1;19;1.357
21;13;FC Tulsa;13;5;4;4;17;16;1;19;1.462
21;14;Lexington;13;5;3;5;21;16;5;18;1.385
21;15;Hartford Athletic;13;4;6;3;10;11;-1;18;1.385
21;16;Phoenix Rising;15;4;5;6;20;22;-2;17;1.133
21;17;Miami FC;14;4;5;5;17;23;-6;17;1.214
21;18;Rhode Island;12;4;4;4;22;16;6;16;1.333
21;19;Sacramento Republic;12;4;4;4;13;12;1;16;1.333
21;20;Las Vegas Lights;14;4;3;7;21;25;-4;15;1.071
21;21;Monterey Bay;15;4;3;8;14;22;-8;15;1.0
21;22;Birmingham;14;2;7;5;15;18;-3;13;0.929
21;23;Brooklyn;14;3;3;8;15;24;-9;12;0.857
21;24;Loudoun;14;1;8;5;17;28;-11;11;0.786
21;25;Sporting Jax;15;0;4;11;19;41;-22;4;0.267
