Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
23;1;Adelaide Croatia Raiders;20;13;2;5;51;24;27;41;2.05
23;2;Adelaide Olympic;20;13;1;6;40;24;16;40;2.0
23;3;Modbury;20;11;5;4;41;20;21;38;1.9
23;4;Cumberland Utd.;20;11;1;8;36;25;11;34;1.7
23;5;Fulham Utd.;20;10;3;7;39;30;9;33;1.65
23;6;Adelaide Atletico;20;10;3;7;35;29;6;33;1.65
23;7;Blue Eagles;20;9;5;6;33;28;5;32;1.6
23;8;Cove FC;20;6;6;8;26;31;-5;24;1.2
23;9;Adelaide Cobras;21;6;2;13;22;42;-20;20;0.952
23;10;Eastern United;21;5;4;12;20;41;-21;19;0.905
23;11;Salisbury Utd.;20;4;3;13;26;44;-18;15;0.75
23;12;South Adelaide;21;3;3;15;23;61;-38;12;0.571
23;13;Cumberland United;3;2;0;1;3;2;1;6;2.0
23;14;Adelaide Blue Eagles;1;1;0;0;4;1;3;3;3.0
23;15;Fulham United FC;1;1;0;0;3;0;3;3;3.0
23;16;Adelaide Raiders;1;1;0;0;2;1;1;3;3.0
23;17;Adelaide Victory;1;0;1;0;0;0;0;1;1.0
23;18;The Cove;1;0;1;0;0;0;0;1;1.0
23;19;Eastern United FC;1;0;0;1;0;1;-1;0;0.0
