Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Asker;16;14;1;1;55;20;35;43;2.688
19;2;Gamle Oslo;16;11;1;4;60;30;30;34;2.125
19;3;Baerum Sportsklubb;16;10;1;5;56;29;27;31;1.938
19;4;Vålerenga 2;17;10;1;6;42;48;-6;31;1.824
19;5;Heming;16;9;3;4;35;25;10;30;1.875
19;6;Ready;16;7;6;3;38;26;12;27;1.688
19;7;Frigg;16;7;5;4;39;31;8;26;1.625
19;8;Union Carl Berner;19;7;0;12;28;32;-4;21;1.105
19;9;K. Oslo 2;16;5;2;9;34;45;-11;17;1.062
19;10;Nordstrand;16;5;1;10;27;40;-13;16;1.0
19;11;Ullern;16;4;2;10;29;41;-12;14;0.875
19;12;Lokomotiv Oslo;16;4;2;10;25;50;-25;14;0.875
19;13;Konnerud;16;4;0;12;24;46;-22;12;0.75
19;14;Grei;16;3;1;12;25;56;-31;10;0.625
19;15;Brattvag;1;1;0;0;3;0;3;3;3.0
19;16;Arendal;1;1;0;0;3;1;2;3;3.0
19;17;Mjondalen;1;1;0;0;2;1;1;3;3.0
19;18;Vaalerenga IF 2;1;1;0;0;2;1;1;3;3.0
19;19;Valerenga 2;1;1;0;0;2;1;1;3;3.0
19;20;Halden;1;1;0;0;1;0;1;3;3.0
19;21;Eik-Tonsberg;1;0;0;1;1;2;-1;0;0.0
19;22;Lysekloster;1;0;0;1;0;1;-1;0;0.0
19;23;Vidar;1;0;0;1;1;3;-2;0;0.0
19;24;Notodden;1;0;0;1;0;3;-3;0;0.0
