PredictionDate;LeagueId;Match;Score;Band;Result;Goals;Over25;BTTS;Reason
2026-06-28;USA_USLLeagueTwo_Metropolitan_2026;Long Island Rough Riders - Cedar Stars;0.0;BASSA;4-1;5;OK;OK;
2026-06-28;Sweden_Division2_VastraGotaland_2026;Onsala - Landvetter;35.39;BASSA;2-4;6;OK;OK;
2026-06-28;Norway_2ndDivision_Group1_2026;Sandviken - Notodden;36.24;BASSA;0-4;4;OK;KO;
2026-06-28;Norway_2ndDivision_Group1_2026;Vidar - Halden;37.3;BASSA;2-4;6;OK;OK;
2026-06-28;USA_USLLeagueTwo_Mountain_2026;Flatirons FC - Utah United;37.4;BASSA;0-3;3;OK;KO;
2026-06-28;Sweden_Division1_Norra_2026;Sollentuna - AFC Eskilstuna;37.41;BASSA;1-4;5;OK;OK;
2026-06-28;Sweden_Superettan_2026;Ljungskile - Örebro;38.46;BASSA;3-2;5;OK;OK;
2026-06-28;Norway_OBOSLigaen_2026;Lyn - Hodd;38.69;BASSA;1-4;5;OK;OK;
2026-06-28;Sweden_Division1_Norra_2026;FBK Karlstad - Hammarby TFF;39.59;BASSA;0-7;7;OK;KO;
2026-06-28;Sweden_Division2_NorraSvealand_2026;Helges - Sunnersta AIF;39.8;BASSA;0-3;3;OK;KO;
2026-06-28;Sweden_Division2_NorraSvealand_2026;Kungsangen - Skiljebo;41.59;BASSA;1-3;4;OK;OK;
2026-06-28;Norway_3rdDivision_Group6_2026;Brumunddal - SK Gjovik-Lyn;42.11;BASSA;0-3;3;OK;KO;
2026-06-28;Norway_2ndDivision_Group1_2026;Pors - Arendal;42.63;BASSA;2-4;6;OK;OK;
2026-06-28;Finland_Ykkosliiga_2026;KaPa - JaPS;42.71;BASSA;2-1;3;OK;OK;
2026-06-28;Sweden_Superettan_2026;Nordic United - Oddevold;44.16;BASSA;3-3;6;OK;OK;
2026-06-28;Finland_Ykkonen_2026;KPV - Keski-Uusimaa;44.44;BASSA;1-3;4;OK;OK;
2026-06-28;Finland_Veikkausliiga_2026;HJK - KuPS;44.91;BASSA;0-4;4;OK;KO;
2026-06-28;USA_USLLeagueTwo_SouthFlorida_2026;Brevard SC - Weston FC;45.38;MEDIA;2-2;4;OK;OK;
2026-06-28;Sweden_Division2_SodraGotaland_2026;IFK Berga - Vaxjo Norra;45.77;MEDIA;3-1;4;OK;OK;
2026-06-30;FaroeIslands_PremierLeague_2026;Vikingur - Runavik;46.01;MEDIA;3-3;6;OK;OK;
