Driver;Group;Count;Mean;Median;StdDev;Min;P25;P50;P75;Max
AwayAttackScore;ALTA_KO;39;10.248462;10.45;2.561864;4.09;8.645;10.45;12.93;13.0
AwayAttackScore;ALTA_OK;135;10.522593;11.33;2.710265;3.18;8.86;11.33;13.0;13.0
AwayAttackScore;MEDIA_KO;67;9.573134;9.55;2.600418;1.97;7.52;9.55;11.82;13.0
AwayAttackScore;MEDIA_OK;89;9.160562;9.45;2.802978;1.48;7.09;9.45;11.33;13.0
AwayDefenseWeaknessScore;ALTA_KO;39;8.582051;9.09;1.64685;4.24;7.655;9.09;10.0;10.0
AwayDefenseWeaknessScore;ALTA_OK;135;8.185926;8.82;2.040281;1.82;6.82;8.82;10.0;10.0
AwayDefenseWeaknessScore;MEDIA_KO;67;6.935075;6.82;2.065755;1.24;5.765;6.82;8.93;10.0
AwayDefenseWeaknessScore;MEDIA_OK;89;7.462247;7.58;1.962977;2.45;5.97;7.58;9.09;10.0
AwayLast10OverScore;ALTA_KO;39;9.538462;9.6;1.410695;7.2;8.4;9.6;10.8;12.0
AwayLast10OverScore;ALTA_OK;135;9.409852;9.6;1.556377;3.6;8.4;9.6;10.8;12.0
AwayLast10OverScore;MEDIA_KO;67;7.349254;7.2;1.692157;2.4;6.0;7.2;8.4;10.8
AwayLast10OverScore;MEDIA_OK;89;7.59618;7.2;1.750152;4.5;6.0;7.2;8.4;12.0
AwayVenueOverScore;ALTA_KO;39;7.734872;8.0;1.471256;4.0;6.905;8.0;8.57;10.0
AwayVenueOverScore;ALTA_OK;135;7.995704;8.0;1.54081;3.33;6.67;8.0;9.545;10.0
AwayVenueOverScore;MEDIA_KO;67;5.831194;6.0;1.74543;1.67;5.0;6.0;6.905;10.0
AwayVenueOverScore;MEDIA_OK;89;6.560899;6.67;1.579293;2.0;5.0;6.67;8.0;10.0
BTTSProfileScore;ALTA_KO;39;8.353846;8.08;1.031749;6.59;7.655;8.08;9.135;10.65
BTTSProfileScore;ALTA_OK;135;8.110815;8.12;1.126383;5.23;7.325;8.12;8.785;11.25
BTTSProfileScore;MEDIA_KO;67;7.104627;7.09;1.066736;4.29;6.345;7.09;7.8;9.27
BTTSProfileScore;MEDIA_OK;89;7.032472;7.07;1.17957;3.75;6.23;7.07;7.85;9.85
HomeAttackScore;ALTA_KO;39;11.862051;13.0;1.523821;7.09;10.61;13.0;13.0;13.0
HomeAttackScore;ALTA_OK;135;11.190741;12.27;2.431373;1.07;10.185;12.27;13.0;13.0
HomeAttackScore;MEDIA_KO;67;9.29791;9.19;2.668425;1.48;7.135;9.19;11.575;13.0
HomeAttackScore;MEDIA_OK;89;9.226404;9.45;2.774312;1.48;7.39;9.45;11.36;13.0
HomeDefenseWeaknessScore;ALTA_KO;39;5.87359;5.68;1.683274;3.12;4.555;5.68;7.8;8.0
HomeDefenseWeaknessScore;ALTA_OK;135;6.507556;6.97;1.572092;1.96;5.34;6.97;8.0;8.0
HomeDefenseWeaknessScore;MEDIA_KO;67;5.569851;5.66;1.878516;0.99;4.36;5.66;6.955;8.0
HomeDefenseWeaknessScore;MEDIA_OK;89;5.661798;5.95;2.032155;0.99;3.97;5.95;7.6;8.0
HomeLast10OverScore;ALTA_KO;39;9.316154;9.6;1.397165;7.2;8.4;9.6;10.8;12.0
HomeLast10OverScore;ALTA_OK;135;9.532741;9.6;1.521911;5.14;8.4;9.6;10.8;12.0
HomeLast10OverScore;MEDIA_KO;67;7.614328;7.5;1.721262;3.6;6.43;7.5;8.4;10.8
HomeLast10OverScore;MEDIA_OK;89;7.301573;7.2;1.836746;2.4;6.0;7.2;8.4;12.0
HomeVenueOverScore;ALTA_KO;39;7.482308;7.78;1.4914;4.44;6.125;7.78;8.45;10.0
HomeVenueOverScore;ALTA_OK;135;8.029481;8.33;1.687465;0.0;6.905;8.33;10.0;10.0
HomeVenueOverScore;MEDIA_KO;67;6.117164;6.0;1.768704;1.67;5.0;6.0;7.64;10.0
HomeVenueOverScore;MEDIA_OK;89;6.180112;6.25;1.826924;0.0;5.0;6.25;7.14;10.0
RankingGapScore;ALTA_KO;39;2.544103;2.18;1.503198;0.67;1.415;2.18;3.3;6.0
RankingGapScore;ALTA_OK;135;2.811111;2.67;1.587703;0.4;1.44;2.67;3.94;6.0
RankingGapScore;MEDIA_KO;67;2.440746;2.4;1.400921;0.35;1.2;2.4;3.6;6.0
RankingGapScore;MEDIA_OK;89;2.096067;1.33;1.514428;0.35;1.09;1.33;3.0;6.0
