LeagueId;PredictionDate;MatchDate;Round;Home;Away;Band;Outcome;HG;AG;MatchStatus;Reason;BaseCandidates;HistorySource
Germany_Oberliga_Bayern_Nord;2026-07-21;2026-07-21;2;Bamberg;Weiden;BASSA;OK;4;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-21;2026-07-21;2;DJK Bamberg;Kornburg;BASSA;OK;2;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-21;2026-07-21;2;Neudrossenfeld;Fortuna Regensburg;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-21;2026-07-21;2;Ismaning;Pfaffenhofen;BASSA;KO;0;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-21;2026-07-21;2;Kottern-St. Mang;Schwabmunchen;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-21;2026-07-21;2;Pipinsried;Heimstetten;BASSA;OK;3;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-21;2026-07-21;2;Rosenheim;Schalding;BASSA;OK;2;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group2;2026-07-25;2026-07-25;14;TP-49;Ylojarvi United;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group2;2026-07-25;2026-07-25;14;Tampere Utd II;Lasten;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group1;2026-07-25;2026-07-25;14;Peimari United;SalPa II;BASSA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;Monaco 1860 II;Schalding;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;Heimstetten;Geretsried;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Division1;2026-07-30;2026-07-31;2;Lechia;Warta Poznan;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;FC Schwaig;Gundelfingen;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Switzerland_ChallengeLeague;2026-07-30;2026-07-31;2;Wil;Xamax;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Switzerland_ChallengeLeague;2026-07-30;2026-07-31;2;Kriens;Winterthur;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Slovakia_2Liga;2026-07-30;2026-07-31;2;Pohronie;Povazska Bystrica;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Nordost;2026-07-30;2026-07-31;2;Tasmania Berlin;Aue;ALTA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Ekstraklasa;2026-07-30;2026-07-31;2;Plock;Widzew Lodz;MEDIA;;;;SCHEDULED;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
