LeagueId;Matches;Over15;Over15Pct;Over25;Over25Pct;Over35;Over35Pct;BTTS;BTTSPct;AvgGoals
Australia_NorthernNSWStateLeague_2026;69;58;84.06;49;71.01;30;43.48;40;57.97;3.78
Australia_NPL_NSW_U20_2026;184;160;86.96;134;72.83;94;51.09;125;67.93;3.88
Australia_NPLACT_2026;89;80;89.89;67;75.28;42;47.19;53;59.55;3.99
Australia_NPLNorthernNSW_2026;105;95;90.48;77;73.33;54;51.43;75;71.43;3.69
Australia_NPLNSW_2026;202;149;73.76;106;52.48;62;30.69;101;50.0;2.78
Australia_NPLQueensland_2026;113;103;91.15;88;77.88;63;55.75;77;68.14;3.79
Australia_NPLQueenslandU23_2026;106;97;91.51;83;78.3;60;56.6;69;65.09;4.16
Australia_NPLSouthAustralia_2026;109;86;78.9;74;67.89;52;47.71;60;55.05;3.44
Australia_NPLTasmania_2026;76;67;88.16;52;68.42;37;48.68;44;57.89;3.86
Australia_NPLVictoria_2026;146;113;77.4;82;56.16;52;35.62;76;52.05;2.95
Australia_NPLWesternAustralia_2026;108;92;85.19;76;70.37;48;44.44;77;71.3;3.65
Australia_NSWLeagueOne_2026;191;156;81.68;120;62.83;79;41.36;134;70.16;3.32
Australia_QueenslandPremierLeague_2026;114;94;82.46;71;62.28;52;45.61;67;58.77;3.32
Australia_SAStateLeague_2026;107;94;87.85;70;65.42;43;40.19;59;55.14;3.29
Australia_TasmaniaNorthernChampionship_2026;50;45;90.0;44;88.0;42;84.0;28;56.0;5.46
Australia_TasmaniaSouthernChampionship_2026;60;58;96.67;53;88.33;46;76.67;41;68.33;5.53
Australia_VictoriaPremierLeague2_2026;135;106;78.52;78;57.78;51;37.78;78;57.78;3.06
Australia_VictoriaPremierLeague_2026;143;120;83.92;100;69.93;65;45.45;91;63.64;3.5
Australia_WAStateLeague_2026;96;80;83.33;63;65.62;41;42.71;60;62.5;3.3
Belarus_PershayaLiga_2026;134;114;85.07;84;62.69;54;40.3;85;63.43;3.26
Belarus_VysshayaLiga_2026;117;88;75.21;52;44.44;25;21.37;59;50.43;2.5
Bhutan_PremierLeague_2026;42;30;71.43;23;54.76;16;38.1;19;45.24;3.21
Bolivia_DivisionProfesional_2026;67;57;85.07;42;62.69;25;37.31;45;67.16;3.04
Estonia_Esiliiga_2026;90;84;93.33;68;75.56;55;61.11;62;68.89;4.03
Estonia_EsiliigaB_2026;89;84;94.38;75;84.27;60;67.42;65;73.03;4.63
Estonia_Meistriliiga_2026;92;72;78.26;60;65.22;33;35.87;51;55.43;3.09
FaroeIslands_1Deild_2026;66;60;90.91;49;74.24;34;51.52;44;66.67;3.74
FaroeIslands_PremierLeague_2026;79;58;73.42;40;50.63;22;27.85;42;53.16;2.78
Finland_Kakkonen_GroupA_2026;56;52;92.86;38;67.86;27;48.21;38;67.86;3.55
Finland_Kakkonen_GroupB_2026;58;51;87.93;36;62.07;28;48.28;37;63.79;3.53
Finland_Kakkonen_GroupC_2026;60;54;90.0;47;78.33;32;53.33;38;63.33;4.23
Finland_Veikkausliiga_2026;90;69;76.67;44;48.89;25;27.78;48;53.33;2.72
Finland_Ykkonen_2026;90;75;83.33;56;62.22;42;46.67;51;56.67;3.47
Finland_Ykkosliiga_2026;66;41;62.12;28;42.42;15;22.73;29;43.94;2.41
Iceland_BestaDeildKarla_2026;85;75;88.24;61;71.76;49;57.65;63;74.12;4.05
Iceland_Division_1_2026;82;65;79.27;49;59.76;32;39.02;48;58.54;3.41
Iceland_Division_2_2026;74;66;89.19;55;74.32;47;63.51;54;72.97;3.97
Kazakhstan_FirstLeague_2026;91;71;78.02;59;64.84;35;38.46;45;49.45;3.31
Kazakhstan_PremierLeague_2026;136;89;65.44;57;41.91;28;20.59;68;50.0;2.26
Kyrgyzstan_PremierLiga_2026;119;98;82.35;64;53.78;34;28.57;72;60.5;2.87
Latvia_NakotnesLiga_2026;73;63;86.3;50;68.49;37;50.68;45;61.64;3.49
Latvia_Virsliga_2026;93;78;83.87;58;62.37;37;39.78;56;60.22;3.23
Lebanon_PremierLeague_2026;122;78;63.93;52;42.62;30;24.59;37;30.33;2.43
Lithuania_ILyga_2026;119;89;74.79;71;59.66;36;30.25;56;47.06;2.78
Lithuania_Toplyga_2026;93;69;74.19;51;54.84;27;29.03;44;47.31;2.6
Norway_2ndDivision_Group1_2026;84;68;80.95;49;58.33;33;39.29;49;58.33;3.0
Norway_2ndDivision_Group2_2026;84;71;84.52;62;73.81;34;40.48;56;66.67;3.45
Norway_3rdDivision_Group1_2026;85;78;91.76;70;82.35;52;61.18;60;70.59;4.39
Norway_3rdDivision_Group2_2026;85;79;92.94;67;78.82;53;62.35;61;71.76;4.22
Norway_3rdDivision_Group3_2026;83;76;91.57;59;71.08;44;53.01;56;67.47;4.07
Norway_3rdDivision_Group4_2026;85;79;92.94;63;74.12;45;52.94;60;70.59;3.98
Norway_3rdDivision_Group5_2026;85;80;94.12;68;80.0;50;58.82;65;76.47;4.27
Norway_3rdDivision_Group6_2026;84;72;85.71;63;75.0;45;53.57;52;61.9;4.04
Norway_Eliteserien_2026;97;83;85.57;54;55.67;33;34.02;53;54.64;2.94
Norway_OBOSLigaen_2026;112;97;86.61;82;73.21;56;50.0;67;59.82;3.75
Somalia_NationalLeague_2026;103;83;80.58;66;64.08;48;46.6;57;55.34;3.61
Sweden_Allsvenskan_2026;97;84;86.6;57;58.76;33;34.02;60;61.86;3.2
Sweden_Division1_Norra_2026;115;95;82.61;70;60.87;51;44.35;69;60.0;3.27
Sweden_Division1_Sodra_2026;115;94;81.74;72;62.61;45;39.13;70;60.87;3.09
Sweden_Division2_NorraGotaland_2026;103;91;88.35;65;63.11;39;37.86;64;62.14;3.16
Sweden_Division2_NorraSvealand_2026;101;83;82.18;62;61.39;40;39.6;61;60.4;3.03
Sweden_Division2_Norrland_2026;84;77;91.67;58;69.05;45;53.57;61;72.62;3.73
Sweden_Division2_SodraGotaland_2026;98;84;85.71;62;63.27;37;37.76;65;66.33;3.11
Sweden_Division2_SodraSvealand_2026;100;84;84.0;63;63.0;45;45.0;60;60.0;3.47
Sweden_Division2_VastraGotaland_2026;102;85;83.33;64;62.75;42;41.18;65;63.73;3.16
Sweden_Superettan_2026;112;87;77.68;66;58.93;45;40.18;68;60.71;3.06
USA_MLSNextPro_EasternConference_NortheastDivision_2026;65;52;80.0;43;66.15;26;40.0;41;63.08;3.05
USA_MLSNextPro_EasternConference_SoutheastDivision_2026;62;53;85.48;42;67.74;29;46.77;39;62.9;3.45
USA_MLSNextPro_WesternConference_CentralDivision_2026;57;53;92.98;38;66.67;28;49.12;32;56.14;3.47
USA_MLSNextPro_WesternConference_PacificDivision_2026;58;43;74.14;34;58.62;24;41.38;38;65.52;3.0
USA_USLChampionship_2026;177;132;74.58;92;51.98;58;32.77;101;57.06;2.79
USA_USLLeagueOne_2026;126;96;76.19;73;57.94;45;35.71;70;55.56;2.83
USA_USLLeagueTwo_Chesapeake_2026;75;67;89.33;57;76.0;45;60.0;41;54.67;4.13
USA_USLLeagueTwo_GreatForest_2026;42;36;85.71;32;76.19;29;69.05;23;54.76;3.86
USA_USLLeagueTwo_GreatLakes_2026;45;41;91.11;37;82.22;26;57.78;29;64.44;4.13
USA_USLLeagueTwo_GreatPlains_2026;33;29;87.88;22;66.67;18;54.55;21;63.64;3.64
USA_USLLeagueTwo_Heartland_2026;54;50;92.59;46;85.19;34;62.96;32;59.26;4.17
USA_USLLeagueTwo_LoneStar_2026;56;50;89.29;41;73.21;28;50.0;33;58.93;3.95
USA_USLLeagueTwo_Metropolitan_2026;64;58;90.62;47;73.44;37;57.81;38;59.38;3.86
USA_USLLeagueTwo_MidAtlantic_2026;59;51;86.44;43;72.88;33;55.93;37;62.71;3.64
USA_USLLeagueTwo_MidSouth_2026;45;36;80.0;32;71.11;28;62.22;29;64.44;3.67
USA_USLLeagueTwo_Mountain_2026;43;39;90.7;35;81.4;24;55.81;26;60.47;3.84
USA_USLLeagueTwo_NorCal_2026;56;50;89.29;42;75.0;28;50.0;37;66.07;3.95
USA_USLLeagueTwo_Northeast_2026;71;61;85.92;50;70.42;36;50.7;47;66.2;3.77
USA_USLLeagueTwo_Northwest_2026;56;54;96.43;44;78.57;25;44.64;33;58.93;3.8
USA_USLLeagueTwo_Ranger_2026;35;26;74.29;23;65.71;12;34.29;20;57.14;3.34
USA_USLLeagueTwo_SouthAtlantic_2026;80;64;80.0;57;71.25;38;47.5;50;62.5;3.34
USA_USLLeagueTwo_SouthCentral_2026;40;37;92.5;26;65.0;19;47.5;28;70.0;3.42
USA_USLLeagueTwo_Southeast_2026;36;26;72.22;21;58.33;12;33.33;20;55.56;2.81
USA_USLLeagueTwo_SouthFlorida_2026;38;30;78.95;22;57.89;16;42.11;21;55.26;3.32
USA_USLLeagueTwo_Southwest_2026;48;42;87.5;32;66.67;22;45.83;34;70.83;3.6
USA_USLLeagueTwo_Valley_2026;38;30;78.95;24;63.16;17;44.74;24;63.16;3.32
