Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20select;Finland_Kolmonen_Southern_Group2;6;0;2026-08-09;2026-09-10;6;100.0
2;v20select;Estonia_EsiliigaB;6;1;2026-08-15;2026-09-10;7;85.71
3;v20select;Finland_Kolmonen_Southern_Group1;3;0;2026-08-20;2026-08-30;3;100.0
4;v20select;Norway_3rdDivision_Group4;3;0;2026-08-08;2026-09-06;3;100.0
5;v20select;Australia_NPL_NSW_U20;2;0;2026-08-14;2026-08-22;2;100.0
6;v20select;Norway_2ndDivision_Group2;2;0;2026-08-29;2026-08-30;2;100.0
7;v20select;Norway_3rdDivision_Group1;2;0;2026-09-01;2026-09-07;2;100.0
8;v20select;Norway_3rdDivision_Group2;2;0;2026-08-31;2026-08-31;2;100.0
9;v20select;Norway_3rdDivision_Group3;2;0;2026-08-17;2026-08-31;2;100.0
10;v20select;Norway_3rdDivision_Group6;2;0;2026-08-17;2026-08-31;2;100.0
11;v20select;Norway_OBOSLigaen;2;0;2026-08-16;2026-08-26;2;100.0
12;v20select;Sweden_Division2_SodraGotaland;2;0;2026-08-08;2026-08-22;2;100.0
13;v20select;Australia_TasmaniaSouthernChampionship;2;1;2026-08-09;2026-08-22;3;66.67
14;v20select;Finland_Kolmonen_Western_Group2;2;1;2026-08-13;2026-08-27;3;66.67
15;v20select;Norway_3rdDivision_Group5;2;1;2026-08-08;2026-08-30;3;66.67
16;v20select;Iceland_Division_2;2;2;2026-08-14;2026-08-28;4;50.0
17;v20select;Australia_NPLACT;1;0;2026-08-09;2026-08-09;1;100.0
18;v20select;Australia_NPLQueensland;1;0;2026-08-14;2026-08-14;1;100.0
19;v20select;Australia_NSWLeagueOne;1;0;2026-08-21;2026-08-21;1;100.0
20;v20select;Australia_WAStateLeague;1;0;2026-08-22;2026-08-22;1;100.0
21;v20select;Austria_Karnten;1;0;2026-09-04;2026-09-04;1;100.0
22;v20select;Austria_Salzburg;1;0;2026-09-06;2026-09-06;1;100.0
23;v20select;Estonia_Esiliiga;1;0;2026-08-20;2026-08-20;1;100.0
24;v20select;FaroeIslands_1Deild;1;0;2026-08-22;2026-08-22;1;100.0
25;v20select;Finland_Kakkonen_GroupA;1;0;2026-08-30;2026-08-30;1;100.0
26;v20select;Finland_Kakkonen_GroupC;1;0;2026-08-22;2026-08-22;1;100.0
27;v20select;Finland_Kolmonen_Eastern_Group1;1;0;2026-09-11;2026-09-11;1;100.0
28;v20select;Germany_Oberliga_RheinlandPfalzSaar;1;0;2026-09-09;2026-09-09;1;100.0
29;v20select;Germany_Oberliga_SchleswigHolstein;1;0;2026-08-30;2026-08-30;1;100.0
30;v20select;Germany_Regionalliga_West;1;0;2026-09-11;2026-09-11;1;100.0
31;v20select;Iceland_1DeildWomen;1;0;2026-08-29;2026-08-29;1;100.0
32;v20select;Iceland_BestaDeildKvenna;1;0;2026-09-05;2026-09-05;1;100.0
33;v20select;Moldova_SuperLiga;1;0;2026-08-30;2026-08-30;1;100.0
34;v20select;Netherlands_EersteDivisie;1;0;2026-09-11;2026-09-11;1;100.0
35;v20select;Norway_2ndDivision_Group1;1;0;2026-09-05;2026-09-05;1;100.0
36;v20select;Poland_IIILiga_Group2;1;0;2026-09-05;2026-09-05;1;100.0
37;v20select;Sweden_Division1_Sodra;1;0;2026-08-30;2026-08-30;1;100.0
38;v20select;Sweden_Division2_Norrland;1;0;2026-08-22;2026-08-22;1;100.0
39;v20select;Sweden_Division2_SodraSvealand;1;0;2026-08-08;2026-08-08;1;100.0
40;v20select;Sweden_Division2_VastraGotaland;1;0;2026-08-14;2026-08-14;1;100.0
41;v20select;Switzerland_SuperLeague;1;0;2026-09-06;2026-09-06;1;100.0
42;v20select;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-08-24;2026-08-24;1;100.0
43;v20select;CzechRepublic_3MSFL;1;1;2026-09-05;2026-09-06;2;50.0
44;v20select;Poland_IIILiga_Group1;1;1;2026-09-06;2026-09-11;2;50.0
45;v20select;Switzerland_PromotionLeague;0;3;2026-09-05;2026-09-05;3;0.0
46;v20select;Australia_TasmaniaNorthernChampionship;0;1;2026-08-15;2026-08-15;1;0.0
47;v20select;Austria_Regionalliga_North;0;1;2026-09-04;2026-09-04;1;0.0
48;v20select;Finland_Kolmonen_North;0;1;2026-09-09;2026-09-09;1;0.0
49;v20select;Germany_Regionalliga_Nordost;0;1;2026-08-26;2026-08-26;1;0.0
50;v20select;Iceland_BestaDeildKarla;0;1;2026-08-31;2026-08-31;1;0.0
51;v20select;Moldova_Liga1_GroupA;0;1;2026-09-11;2026-09-11;1;0.0
52;v20select;Poland_Ekstraklasa;0;1;2026-09-06;2026-09-06;1;0.0
53;v20select;Sweden_Allsvenskan;0;1;2026-08-31;2026-08-31;1;0.0
54;v20select;Sweden_Division1_Norra;0;1;2026-08-21;2026-08-21;1;0.0
55;v20select;USA_MLSNextPro_WesternConference_CentralDivision;0;1;2026-08-10;2026-08-10;1;0.0
