PredictionDate;LeagueId;Match;Score;Band;Result;Goals;Over25;BTTS;Reason
2026-06-28;Finland_Ykkosliiga_2026;KaPa - JaPS;50.56;BASSA;2-1;3;OK;OK;
2026-06-30;USA_USLLeagueTwo_Southwest_2026;Ventura - Tucson;56.38;BASSA;2-1;3;OK;OK;
2026-06-29;Latvia_Virsliga_2026;RFS - BFC Daugavpils;62.34;MEDIA;4-1;5;OK;OK;
2026-06-28;Sweden_Division2_SodraSvealand_2026;Orebro Syr. - Syrianska;63.3;MEDIA;3-0;3;OK;KO;
2026-06-30;FaroeIslands_PremierLeague_2026;HB Torshavn - Skala Itrottarfelag;64.24;MEDIA;4-1;5;OK;OK;
2026-06-29;USA_USLLeagueTwo_SouthCentral_2026;Swarm FC - Dothan United;64.38;MEDIA;3-1;4;OK;OK;
2026-06-29;Finland_Ykkonen_2026;VJS - TPV;64.81;MEDIA;2-1;3;OK;OK;
2026-06-29;USA_USLLeagueTwo_SouthFlorida_2026;Weston - Lakeland United;65.15;MEDIA;2-3;5;OK;OK;
2026-06-30;FaroeIslands_PremierLeague_2026;Vikingur - Runavik;66.59;MEDIA;3-3;6;OK;OK;
2026-06-30;USA_USLLeagueTwo_Southeast_2026;Inter Gainesville - Brooke House;68.0;MEDIA;3-1;4;OK;OK;
2026-06-28;Finland_Ykkonen_2026;KPV - Keski-Uusimaa;69.93;MEDIA;1-3;4;OK;OK;
2026-06-30;USA_USLLeagueTwo_Chesapeake_2026;Virginia Marauders - Annapolis Blues;70.78;MEDIA;1-4;5;OK;OK;
2026-06-28;Sweden_Division1_Norra_2026;Umeå - Jarfalla;71.57;MEDIA;1-3;4;OK;OK;
2026-06-30;USA_USLLeagueTwo_SouthAtlantic_2026;Charlotte Eagles - Hickory;71.79;MEDIA;1-3;4;OK;OK;
2026-06-30;Latvia_Virsliga_2026;Auda - Riga FC;73.12;MEDIA;1-2;3;OK;OK;
2026-06-30;USA_USLLeagueTwo_GreatForest_2026;Erie Sports Center - Akron City;73.12;MEDIA;1-6;7;OK;OK;
2026-06-28;Sweden_Division2_SodraSvealand_2026;Karlslund - Fittja;73.16;MEDIA;2-2;4;OK;OK;
2026-06-28;Sweden_Superettan_2026;Sandviken - Helsingborg;73.29;MEDIA;4-2;6;OK;OK;
2026-06-28;Norway_2ndDivision_Group2_2026;Skeid - Trygg/Lade;73.69;MEDIA;7-1;8;OK;OK;
2026-07-01;Latvia_Virsliga_2026;Tukums 2000 - Super Nova;74.12;MEDIA;1-2;3;OK;OK;
