Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Germany;3. Liga;1;2026-08-07;Mannheim;Dusseldorf;2;1;
Germany;3. Liga;1;2026-08-08;Duisburg;Meppen;3;0;
Germany;3. Liga;1;2026-08-08;Grossaspach;Fortuna Colonia;1;0;
Germany;3. Liga;1;2026-08-08;Havelse;Stoccarda II;2;3;
Germany;3. Liga;1;2026-08-08;Ingolstadt;Wurzburger Kickers;2;2;
Germany;3. Liga;1;2026-08-08;Viktoria Koln;Regensburg;2;5;
Germany;3. Liga;1;2026-08-08;Wehen;Munster;1;3;
Germany;3. Liga;1;2026-08-09;Aachen;Verl;4;1;
Germany;3. Liga;1;2026-08-09;Hoffenheim II;Rostock;2;3;
Germany;3. Liga;1;2026-08-09;Saarbrucken;RW Essen;5;2;
Germany;3. Liga;2;2026-08-14;Wurzburger Kickers;Wehen;4;0;
Germany;3. Liga;2;2026-08-15;Dusseldorf;Hoffenheim II;0;2;
Germany;3. Liga;2;2026-08-15;Fortuna Colonia;Aachen;1;1;
Germany;3. Liga;2;2026-08-15;Meppen;Grossaspach;2;0;
Germany;3. Liga;2;2026-08-15;Munster;Ingolstadt;1;1;
Germany;3. Liga;2;2026-08-15;RW Essen;Havelse;1;0;
Germany;3. Liga;2;2026-08-15;Verl;Duisburg;2;4;
