Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Netherlands;Eerste Divisie;1;2026-08-07;Dordrecht;Jong Ajax;2;1;
Netherlands;Eerste Divisie;1;2026-08-07;FC Emmen;Roda;1;0;
Netherlands;Eerste Divisie;1;2026-08-07;Oss;Breda;1;2;
Netherlands;Eerste Divisie;1;2026-08-07;Venlo;Heracles;3;4;
Netherlands;Eerste Divisie;1;2026-08-07;Vitesse;Waalwijk;1;1;
Netherlands;Eerste Divisie;1;2026-08-08;Den Bosch;Almere City;1;1;
Netherlands;Eerste Divisie;1;2026-08-09;Helmond;De Graafschap;1;1;
Netherlands;Eerste Divisie;1;2026-08-09;Maastricht;Jong Utrecht;2;1;
Netherlands;Eerste Divisie;1;2026-08-10;Jong AZ;Eindhoven;0;1;
Netherlands;Eerste Divisie;1;2026-08-10;Jong PSV;FC Volendam;3;2;
