Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Poland;Division 1;1;2026-07-24;Odra Opole;Arka;0;1;
Poland;Division 1;1;2026-07-24;Polonia B.;Warta Poznan;4;3;
Poland;Division 1;1;2026-07-25;Lechia;Grodzisk M.;0;3;
Poland;Division 1;1;2026-07-25;Pogon Siedlce;LKS Lodz;1;1;
Poland;Division 1;1;2026-07-25;S. Rzeszow;Chrobry Glogow;1;5;
Poland;Division 1;1;2026-07-26;Puszcza;Polonia W.;0;1;
Poland;Division 1;1;2026-07-26;Skierniewice;Stal Mielec;1;2;
Poland;Division 1;1;2026-07-26;Termalica B-B.;Ruch;2;0;
Poland;Division 1;1;2026-07-28;Legnica;Podbeskidzie;1;1;
Poland;Division 1;2;2026-07-31;LKS Lodz;Polonia B.;2;1;
Poland;Division 1;2;2026-07-31;Lechia;Warta Poznan;0;3;
Poland;Division 1;2;2026-08-01;Arka;S. Rzeszow;4;0;
Poland;Division 1;2;2026-08-01;Pogon Siedlce;Termalica B-B.;1;2;
Poland;Division 1;2;2026-08-01;Polonia W.;Skierniewice;3;1;
Poland;Division 1;2;2026-08-02;Grodzisk M.;Puszcza;1;0;
Poland;Division 1;2;2026-08-02;Ruch;Legnica;0;2;
Poland;Division 1;2;2026-08-02;Stal Mielec;Podbeskidzie;3;3;
Poland;Division 1;2;2026-08-03;Chrobry Glogow;Odra Opole;0;1;
Poland;Division 1;3;2026-08-07;Polonia B.;Pogon Siedlce;2;2;
Poland;Division 1;3;2026-08-07;Polonia W.;Ruch;1;1;
Poland;Division 1;3;2026-08-08;Legnica;Grodzisk M.;0;1;
Poland;Division 1;3;2026-08-08;Podbeskidzie;Lechia;2;2;
Poland;Division 1;3;2026-08-08;Puszcza;Odra Opole;3;1;
Poland;Division 1;3;2026-08-08;Stal Mielec;S. Rzeszow;1;1;
Poland;Division 1;3;2026-08-09;LKS Lodz;Chrobry Glogow;1;2;
Poland;Division 1;3;2026-08-09;Termalica B-B.;Warta Poznan;1;2;
Poland;Division 1;3;2026-08-10;Skierniewice;Arka;2;0;
Poland;Division 1;4;2026-08-14;Grodzisk M.;S. Rzeszow;1;1;
Poland;Division 1;4;2026-08-14;Ruch;Lechia;1;0;
Poland;Division 1;4;2026-08-15;Chrobry Glogow;Podbeskidzie;1;1;
Poland;Division 1;4;2026-08-15;Odra Opole;Warta Poznan;3;1;
Poland;Division 1;4;2026-08-15;Pogon Siedlce;Polonia W.;1;0;
Poland;Division 1;4;2026-08-16;LKS Lodz;Termalica B-B.;2;1;
Poland;Division 1;4;2026-08-16;Skierniewice;Legnica;0;3;
Poland;Division 1;4;2026-08-16;Stal Mielec;Polonia B.;5;2;
Poland;Division 1;4;2026-08-17;Arka;Puszcza;3;0;
Poland;Division 1;5;2026-08-21;Chrobry Glogow;Warta Poznan;0;1;
Poland;Division 1;5;2026-08-21;Lechia;Pogon Siedlce;1;0;
Poland;Division 1;5;2026-08-22;Podbeskidzie;Odra Opole;1;1;
Poland;Division 1;5;2026-08-22;Polonia B.;Grodzisk M.;2;2;
Poland;Division 1;5;2026-08-22;Termalica B-B.;Polonia W.;1;3;
Poland;Division 1;5;2026-08-23;LKS Lodz;Stal Mielec;4;0;
Poland;Division 1;5;2026-08-23;Legnica;Arka;2;0;
Poland;Division 1;5;2026-08-23;Puszcza;Skierniewice;0;1;
Poland;Division 1;5;2026-08-24;S. Rzeszow;Ruch;0;1;
Poland;Division 1;6;2026-08-28;Grodzisk M.;Termalica B-B.;2;2;
Poland;Division 1;6;2026-08-28;Odra Opole;LKS Lodz;0;0;
Poland;Division 1;6;2026-08-28;Skierniewice;S. Rzeszow;0;1;
Poland;Division 1;6;2026-08-29;Pogon Siedlce;Stal Mielec;2;0;
Poland;Division 1;6;2026-08-29;Polonia W.;Lechia;2;4;
Poland;Division 1;6;2026-08-29;Puszcza;Podbeskidzie;2;0;
Poland;Division 1;6;2026-08-30;Arka;Polonia B.;1;1;
Poland;Division 1;6;2026-08-30;Chrobry Glogow;Ruch;2;0;
Poland;Division 1;6;2026-08-30;Legnica;Warta Poznan;2;1;
