Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Italy;Serie B;1;2026-08-23;Cesena;Sampdoria;1;1;
Italy;Serie B;1;2026-08-23;Palermo;Juve Stabia;1;0;
Italy;Serie B;1;2026-08-23;Pisa;Padova;0;1;
Italy;Serie B;1;2026-08-23;Verona;Ascoli;1;2;
Italy;Serie B;1;2026-08-28;Cremonese;Modena;0;3;
Italy;Serie B;1;2026-08-29;Avellino;L.R. Vicenza;3;0;
Italy;Serie B;1;2026-08-30;Benevento;Südtirol;1;1;
Italy;Serie B;1;2026-08-30;Mantova;Empoli;3;1;
Italy;Serie B;2;2026-08-29;Ascoli;Carrarese;1;1;
Italy;Serie B;2;2026-08-29;Entella;Cesena;1;2;
Italy;Serie B;2;2026-08-29;Padova;Verona;1;1;
Italy;Serie B;2;2026-08-29;Sampdoria;Juve Stabia;1;2;
Italy;Serie B;2;2026-08-30;Arezzo;Palermo;2;3;
Italy;Serie B;2;2026-08-30;Pisa;Catanzaro;2;1;
