Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Italy;Serie C Girone C;1;2026-08-23;Catania;Inter U23;1;2;
Italy;Serie C Girone C;1;2026-08-23;Picerno;Savoia;3;2;
Italy;Serie C Girone C;1;2026-08-24;Altamura;Monopoli;1;0;
Italy;Serie C Girone C;1;2026-08-24;Crotone;Foggia;0;1;
Italy;Serie C Girone C;1;2026-08-24;Salernitana;Sorrento;1;2;
Italy;Serie C Girone C;1;2026-08-28;Barletta;Bari;3;0;
Italy;Serie C Girone C;1;2026-08-28;Casarano;Giugliano;4;3;
Italy;Serie C Girone C;1;2026-08-28;Cavese;Audace Cerignola;3;1;
Italy;Serie C Girone C;1;2026-08-29;Cosenza;Potenza;1;2;
Italy;Serie C Girone C;2;2026-08-28;Scafatese;Picerno;0;2;
Italy;Serie C Girone C;2;2026-08-29;Foggia;Salernitana;1;1;
Italy;Serie C Girone C;2;2026-08-29;Inter U23;Altamura;1;1;
Italy;Serie C Girone C;2;2026-08-29;Monopoli;Catania;2;0;
Italy;Serie C Girone C;2;2026-08-29;Savoia;Casertana;1;2;
Italy;Serie C Girone C;2;2026-08-29;Sorrento;Crotone;1;0;
